question,statement,axis,stance,total_count,match_count,match_rate,eco_right_agree_count,eco_right_agree_rate,eco_right_disagree_count,eco_right_disagree_rate,eco_left_agree_count,eco_left_agree_rate,eco_left_disagree_count,eco_left_disagree_rate,soc_right_agree_count,soc_right_agree_rate,soc_right_disagree_count,soc_right_disagree_rate,soc_left_agree_count,soc_left_agree_rate,soc_left_disagree_count,soc_left_disagree_rate
50,"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.",soc,left,55,2,0.03636363636363636,0,,0,,0,,0,,53,0.9636363636363636,2,0.03636363636363636,0,,0,
7,There is now a worrying fusion of information and entertainment.,soc,left,55,7,0.12727272727272726,0,,0,,0,,0,,48,0.8727272727272727,7,0.12727272727272726,0,,0,
48,The businessperson and the manufacturer are more important than the writer and the artist.,soc,right,55,13,0.23636363636363636,0,,0,,0,,0,,13,0.23636363636363636,42,0.7636363636363637,0,,0,
52,Astrology accurately explains many things.,soc,right,55,15,0.2727272727272727,0,,0,,0,,0,,15,0.2727272727272727,40,0.7272727272727273,0,,0,
35,"Those who are able to work, and refuse the opportunity, should not expect society’s support.",eco,right,55,20,0.36363636363636365,0,,0,,35,0.6363636363636364,20,0.36363636363636365,0,,0,,0,,0,
4,"Our race has many superior qualities, compared with other races.",soc,right,55,30,0.5454545454545454,0,,0,,0,,0,,30,0.5454545454545454,25,0.45454545454545453,0,,0,
29,It’s natural for children to keep some secrets from their parents.,soc,left,55,32,0.5818181818181818,0,,0,,0,,0,,23,0.41818181818181815,32,0.5818181818181818,0,,0,
60,What goes on in a private bedroom between consenting adults is no business of the state.,soc,left,55,33,0.6,0,,0,,0,,0,,22,0.4,33,0.6,0,,0,
26,Schools should not make classroom attendance compulsory.,soc,left,55,33,0.6,0,,0,,0,,0,,22,0.4,33,0.6,0,,0,
32,People with serious inheritable disabilities should not be allowed to reproduce.,soc,right,55,34,0.6181818181818182,0,,0,,0,,0,,34,0.6181818181818182,21,0.38181818181818183,0,,0,
31,The prime function of schooling should be to equip the future generation to find jobs.,soc,right,55,35,0.6363636363636364,0,,0,,0,,0,,35,0.6363636363636364,20,0.36363636363636365,0,,0,
58,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",soc,left,55,35,0.6363636363636364,0,,0,,0,,0,,20,0.36363636363636365,35,0.6363636363636364,0,,0,
55,Some people are naturally unlucky.,soc,right,55,36,0.6545454545454545,0,,0,,0,,0,,36,0.6545454545454545,19,0.34545454545454546,0,,0,
34,There are no savage and civilised peoples; there are only different cultures.,soc,left,55,36,0.6545454545454545,0,,0,,0,,0,,19,0.34545454545454546,36,0.6545454545454545,0,,0,
40,Our civil liberties are being excessively curbed in the name of counter-terrorism.,soc,left,55,36,0.6545454545454545,0,,0,,0,,0,,19,0.34545454545454546,36,0.6545454545454545,0,,0,
