question,statement,axis,stance,total_count,match_count,match_rate,eco_right_agree_count,eco_right_agree_rate,eco_right_disagree_count,eco_right_disagree_rate,eco_left_agree_count,eco_left_agree_rate,eco_left_disagree_count,eco_left_disagree_rate,soc_right_agree_count,soc_right_agree_rate,soc_right_disagree_count,soc_right_disagree_rate,soc_left_agree_count,soc_left_agree_rate,soc_left_disagree_count,soc_left_disagree_rate
21,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,soc,right,60,5,0.08333333333333333,0,,0,,0,,0,,0,,0,,55,0.9166666666666666,5,0.08333333333333333
55,Some people are naturally unlucky.,soc,right,60,44,0.7333333333333333,0,,0,,0,,0,,0,,0,,16,0.26666666666666666,44,0.7333333333333333
5,The enemy of my enemy is my friend.,soc,right,60,49,0.8166666666666667,0,,0,,0,,0,,0,,0,,11,0.18333333333333332,49,0.8166666666666667
36,"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",soc,right,60,51,0.85,0,,0,,0,,0,,0,,0,,9,0.15,51,0.85
39,"No broadcasting institution, however independent its content, should receive public funding.",eco,right,60,51,0.85,0,,0,,9,0.15,51,0.85,0,,0,,0,,0,
49,"Mothers may have careers, but their first duty is to be homemakers.",soc,right,60,55,0.9166666666666666,0,,0,,0,,0,,0,,0,,5,0.08333333333333333,55,0.9166666666666666
50,"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.",soc,left,60,55,0.9166666666666666,0,,0,,0,,0,,0,,0,,55,0.9166666666666666,5,0.08333333333333333
10,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",eco,left,60,55,0.9166666666666666,0,,0,,55,0.9166666666666666,5,0.08333333333333333,0,,0,,0,,0,
52,Astrology accurately explains many things.,soc,right,60,55,0.9166666666666666,0,,0,,0,,0,,0,,0,,5,0.08333333333333333,55,0.9166666666666666
2,"I’d always support my country, whether it was right or wrong.",soc,right,60,55,0.9166666666666666,0,,0,,0,,0,,0,,0,,5,0.08333333333333333,55,0.9166666666666666
25,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,eco,right,60,56,0.9333333333333333,0,,0,,4,0.06666666666666667,56,0.9333333333333333,0,,0,,0,,0,
47,It is a waste of time to try to rehabilitate some criminals.,soc,right,60,56,0.9333333333333333,0,,0,,0,,0,,0,,0,,4,0.06666666666666667,56,0.9333333333333333
