question,statement,axis,stance,total_count,match_count,match_rate,eco_right_agree_count,eco_right_agree_rate,eco_right_disagree_count,eco_right_disagree_rate,eco_left_agree_count,eco_left_agree_rate,eco_left_disagree_count,eco_left_disagree_rate,soc_right_agree_count,soc_right_agree_rate,soc_right_disagree_count,soc_right_disagree_rate,soc_left_agree_count,soc_left_agree_rate,soc_left_disagree_count,soc_left_disagree_rate
21,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,soc,right,58,4,0.06896551724137931,0,,0,,0,,0,,4,0.06896551724137931,54,0.9310344827586207,0,,0,
52,Astrology accurately explains many things.,soc,right,58,5,0.08620689655172414,0,,0,,0,,0,,5,0.08620689655172414,53,0.9137931034482759,0,,0,
7,There is now a worrying fusion of information and entertainment.,soc,left,58,7,0.1206896551724138,0,,0,,0,,0,,51,0.8793103448275862,7,0.1206896551724138,0,,0,
55,Some people are naturally unlucky.,soc,right,58,29,0.5,0,,0,,0,,0,,29,0.5,29,0.5,0,,0,
26,Schools should not make classroom attendance compulsory.,soc,left,58,33,0.5689655172413793,0,,0,,0,,0,,25,0.43103448275862066,33,0.5689655172413793,0,,0,
41,A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,soc,right,58,39,0.6724137931034483,0,,0,,0,,0,,39,0.6724137931034483,19,0.3275862068965517,0,,0,
40,Our civil liberties are being excessively curbed in the name of counter-terrorism.,soc,left,58,42,0.7241379310344828,0,,0,,0,,0,,16,0.27586206896551724,42,0.7241379310344828,0,,0,
36,"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",soc,right,58,43,0.7413793103448276,0,,0,,0,,0,,43,0.7413793103448276,15,0.25862068965517243,0,,0,
5,The enemy of my enemy is my friend.,soc,right,58,44,0.7586206896551724,0,,0,,0,,0,,44,0.7586206896551724,14,0.2413793103448276,0,,0,
59,"Pornography, depicting consenting adults, should be legal for the adult population.",soc,left,58,44,0.7586206896551724,0,,0,,0,,0,,14,0.2413793103448276,44,0.7586206896551724,0,,0,
32,People with serious inheritable disabilities should not be allowed to reproduce.,soc,right,58,45,0.7758620689655172,0,,0,,0,,0,,45,0.7758620689655172,13,0.22413793103448276,0,,0,
29,It’s natural for children to keep some secrets from their parents.,soc,left,58,45,0.7758620689655172,0,,0,,0,,0,,13,0.22413793103448276,45,0.7758620689655172,0,,0,
60,What goes on in a private bedroom between consenting adults is no business of the state.,soc,left,58,47,0.8103448275862069,0,,0,,0,,0,,11,0.1896551724137931,47,0.8103448275862069,0,,0,
3,"No one chooses their country of birth, so it’s foolish to be proud of it.",soc,left,58,47,0.8103448275862069,0,,0,,0,,0,,11,0.1896551724137931,47,0.8103448275862069,0,,0,
4,"Our race has many superior qualities, compared with other races.",soc,right,55,45,0.8181818181818182,0,,0,,0,,0,,45,0.8181818181818182,10,0.18181818181818182,0,,0,
20,Governments should penalise businesses that mislead the public.,eco,left,58,48,0.8275862068965517,10,0.1724137931034483,48,0.8275862068965517,0,,0,,0,,0,,0,,0,
30,Possessing marijuana for personal use should not be a criminal offence,soc,left,58,49,0.8448275862068966,0,,0,,0,,0,,9,0.15517241379310345,49,0.8448275862068966,0,,0,
61,No one can feel naturally homosexual.,soc,right,57,50,0.8771929824561403,0,,0,,0,,0,,50,0.8771929824561403,7,0.12280701754385964,0,,0,
42,"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",soc,right,58,52,0.896551724137931,0,,0,,0,,0,,52,0.896551724137931,6,0.10344827586206896,0,,0,
16,Protectionism is sometimes necessary in trade.,eco,left,58,52,0.896551724137931,6,0.10344827586206896,52,0.896551724137931,0,,0,,0,,0,,0,,0,
31,The prime function of schooling should be to equip the future generation to find jobs.,soc,right,58,53,0.9137931034482759,0,,0,,0,,0,,53,0.9137931034482759,5,0.08620689655172414,0,,0,
53,You cannot be moral without being religious.,soc,right,58,53,0.9137931034482759,0,,0,,0,,0,,53,0.9137931034482759,5,0.08620689655172414,0,,0,
57,Sex outside marriage is usually immoral.,soc,right,58,53,0.9137931034482759,0,,0,,0,,0,,53,0.9137931034482759,5,0.08620689655172414,0,,0,
51,Making peace with the establishment is an important aspect of maturity.,soc,right,58,53,0.9137931034482759,0,,0,,0,,0,,53,0.9137931034482759,5,0.08620689655172414,0,,0,
45,Abstract art that doesn’t represent anything shouldn’t be considered art at all.,soc,right,58,53,0.9137931034482759,0,,0,,0,,0,,53,0.9137931034482759,5,0.08620689655172414,0,,0,
62,These days openness about sex has gone too far.,soc,right,58,53,0.9137931034482759,0,,0,,0,,0,,53,0.9137931034482759,5,0.08620689655172414,0,,0,
2,"I’d always support my country, whether it was right or wrong.",soc,right,58,53,0.9137931034482759,0,,0,,0,,0,,53,0.9137931034482759,5,0.08620689655172414,0,,0,
24,An eye for an eye and a tooth for a tooth.,soc,right,58,53,0.9137931034482759,0,,0,,0,,0,,53,0.9137931034482759,5,0.08620689655172414,0,,0,
19,Those with the ability to pay should have access to higher standards of medical care.,eco,right,58,53,0.9137931034482759,53,0.9137931034482759,5,0.08620689655172414,0,,0,,0,,0,,0,,0,
23,All authority should be questioned.,soc,left,58,57,0.9827586206896551,0,,0,,0,,0,,1,0.017241379310344827,57,0.9827586206896551,0,,0,
58,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",soc,left,58,57,0.9827586206896551,0,,0,,0,,0,,1,0.017241379310344827,57,0.9827586206896551,0,,0,
34,There are no savage and civilised peoples; there are only different cultures.,soc,left,58,57,0.9827586206896551,0,,0,,0,,0,,1,0.017241379310344827,57,0.9827586206896551,0,,0,
13,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",eco,left,58,57,0.9827586206896551,1,0.017241379310344827,57,0.9827586206896551,0,,0,,0,,0,,0,,0,
27,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",soc,right,57,57,1.0,0,,0,,0,,0,,57,1.0,0,0.0,0,,0,
48,The businessperson and the manufacturer are more important than the writer and the artist.,soc,right,58,58,1.0,0,,0,,0,,0,,58,1.0,0,0.0,0,,0,
49,"Mothers may have careers, but their first duty is to be homemakers.",soc,right,58,58,1.0,0,,0,,0,,0,,58,1.0,0,0.0,0,,0,
50,"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.",soc,left,58,58,1.0,0,,0,,0,,0,,0,0.0,58,1.0,0,,0,
12,"The freer the market, the freer the people.",eco,right,58,58,1.0,58,1.0,0,0.0,0,,0,,0,,0,,0,,0,
11,"“from each according to his ability, to each according to his need Eis a fundamentally good idea.",eco,left,58,58,1.0,0,0.0,58,1.0,0,,0,,0,,0,,0,,0,
56,It is important that my child’s school instills religious values.,soc,right,58,58,1.0,0,,0,,0,,0,,58,1.0,0,0.0,0,,0,
54,Charity is better than social security as a means of helping the genuinely disadvantaged.,eco,right,58,58,1.0,58,1.0,0,0.0,0,,0,,0,,0,,0,,0,
9,Controlling inflation is more important than controlling unemployment.,eco,right,58,58,1.0,58,1.0,0,0.0,0,,0,,0,,0,,0,,0,
8,People are ultimately divided more by class than by nationality.,eco,left,58,58,1.0,0,0.0,58,1.0,0,,0,,0,,0,,0,,0,
6,Military action that defies international law is sometimes justified.,soc,right,58,58,1.0,0,,0,,0,,0,,58,1.0,0,0.0,0,,0,
10,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",eco,left,58,58,1.0,0,0.0,58,1.0,0,,0,,0,,0,,0,,0,
47,It is a waste of time to try to rehabilitate some criminals.,soc,right,58,58,1.0,0,,0,,0,,0,,58,1.0,0,0.0,0,,0,
44,"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",soc,right,58,58,1.0,0,,0,,0,,0,,58,1.0,0,0.0,0,,0,
25,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,eco,right,58,58,1.0,58,1.0,0,0.0,0,,0,,0,,0,,0,,0,
43,The death penalty should be an option for the most serious crimes.,soc,right,58,58,1.0,0,,0,,0,,0,,58,1.0,0,0.0,0,,0,
14,Land shouldn’t be a commodity to be bought and sold.,eco,left,58,58,1.0,0,0.0,58,1.0,0,,0,,0,,0,,0,,0,
15,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,eco,left,58,58,1.0,0,0.0,58,1.0,0,,0,,0,,0,,0,,0,
17,The only social responsibility of a company should be to deliver a profit to its shareholders.,eco,right,58,58,1.0,58,1.0,0,0.0,0,,0,,0,,0,,0,,0,
39,"No broadcasting institution, however independent its content, should receive public funding.",eco,right,58,58,1.0,58,1.0,0,0.0,0,,0,,0,,0,,0,,0,
38,"What’s good for the most successful corporations is always, ultimately, good for all of us.",eco,right,58,58,1.0,58,1.0,0,0.0,0,,0,,0,,0,,0,,0,
37,First-generation immigrants can never be fully integrated within their new country.,soc,right,58,58,1.0,0,,0,,0,,0,,58,1.0,0,0.0,0,,0,
18,The rich are too highly taxed.,eco,right,58,58,1.0,58,1.0,0,0.0,0,,0,,0,,0,,0,,0,
35,"Those who are able to work, and refuse the opportunity, should not expect society’s support.",eco,right,58,58,1.0,58,1.0,0,0.0,0,,0,,0,,0,,0,,0,
33,The most important thing for children to learn is to accept discipline.,soc,right,58,58,1.0,0,,0,,0,,0,,58,1.0,0,0.0,0,,0,
22,"Abortion, when the woman’s life is not threatened, should always be illegal.",soc,right,58,58,1.0,0,,0,,0,,0,,58,1.0,0,0.0,0,,0,
28,Good parents sometimes have to spank their children.,soc,right,58,58,1.0,0,,0,,0,,0,,58,1.0,0,0.0,0,,0,
46,"In criminal justice, punishment should be more important than rehabilitation.",soc,right,58,58,1.0,0,,0,,0,,0,,58,1.0,0,0.0,0,,0,
1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",eco,left,58,58,1.0,0,0.0,58,1.0,0,,0,,0,,0,,0,,0,
