question,statement,axis,stance,match_count_right-right,match_count_left-right,match_rate_right-right,match_rate_left-right,match_rate_diff
50,"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.",soc,left,58,2,1.0,0.03636363636363636,96.36%
48,The businessperson and the manufacturer are more important than the writer and the artist.,soc,right,58,13,1.0,0.23636363636363636,76.36%
35,"Those who are able to work, and refuse the opportunity, should not expect society’s support.",eco,right,58,20,1.0,0.36363636363636365,63.64%
58,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",soc,left,57,35,0.9827586206896551,0.6363636363636364,34.64%
34,There are no savage and civilised peoples; there are only different cultures.,soc,left,57,36,0.9827586206896551,0.6545454545454545,32.82%
31,The prime function of schooling should be to equip the future generation to find jobs.,soc,right,53,35,0.9137931034482759,0.6363636363636364,27.74%
4,"Our race has many superior qualities, compared with other races.",soc,right,45,30,0.8181818181818182,0.5454545454545454,27.27%
45,Abstract art that doesn’t represent anything shouldn’t be considered art at all.,soc,right,53,37,0.9137931034482759,0.6727272727272727,24.11%
37,First-generation immigrants can never be fully integrated within their new country.,soc,right,58,42,1.0,0.7636363636363637,23.64%
22,"Abortion, when the woman’s life is not threatened, should always be illegal.",soc,right,58,43,1.0,0.7818181818181819,21.82%
60,What goes on in a private bedroom between consenting adults is no business of the state.,soc,left,47,33,0.8103448275862069,0.6,21.03%
49,"Mothers may have careers, but their first duty is to be homemakers.",soc,right,58,44,1.0,0.8,20.00%
39,"No broadcasting institution, however independent its content, should receive public funding.",eco,right,58,44,1.0,0.8,20.00%
29,It’s natural for children to keep some secrets from their parents.,soc,left,45,32,0.7758620689655172,0.5818181818181818,19.40%
30,Possessing marijuana for personal use should not be a criminal offence,soc,left,49,36,0.8448275862068966,0.6545454545454545,19.03%
23,All authority should be questioned.,soc,left,57,44,0.9827586206896551,0.8,18.28%
6,Military action that defies international law is sometimes justified.,soc,right,58,45,1.0,0.8181818181818182,18.18%
56,It is important that my child’s school instills religious values.,soc,right,58,46,1.0,0.8363636363636363,16.36%
27,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",soc,right,57,46,1.0,0.8363636363636363,16.36%
47,It is a waste of time to try to rehabilitate some criminals.,soc,right,58,46,1.0,0.8363636363636363,16.36%
32,People with serious inheritable disabilities should not be allowed to reproduce.,soc,right,45,34,0.7758620689655172,0.6181818181818182,15.77%
51,Making peace with the establishment is an important aspect of maturity.,soc,right,53,42,0.9137931034482759,0.7636363636363637,15.02%
53,You cannot be moral without being religious.,soc,right,53,42,0.9137931034482759,0.7636363636363637,15.02%
61,No one can feel naturally homosexual.,soc,right,50,41,0.8771929824561403,0.7454545454545455,13.17%
42,"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",soc,right,52,43,0.896551724137931,0.7818181818181819,11.47%
2,"I’d always support my country, whether it was right or wrong.",soc,right,53,44,0.9137931034482759,0.8,11.38%
44,"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",soc,right,58,49,1.0,0.8909090909090909,10.91%
25,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,eco,right,58,50,1.0,0.9090909090909091,9.09%
46,"In criminal justice, punishment should be more important than rehabilitation.",soc,right,58,50,1.0,0.9090909090909091,9.09%
43,The death penalty should be an option for the most serious crimes.,soc,right,58,50,1.0,0.9090909090909091,9.09%
5,The enemy of my enemy is my friend.,soc,right,44,37,0.7586206896551724,0.6727272727272727,8.59%
9,Controlling inflation is more important than controlling unemployment.,eco,right,58,51,1.0,0.9272727272727272,7.27%
40,Our civil liberties are being excessively curbed in the name of counter-terrorism.,soc,left,42,36,0.7241379310344828,0.6545454545454545,6.96%
8,People are ultimately divided more by class than by nationality.,eco,left,58,52,1.0,0.9454545454545454,5.45%
59,"Pornography, depicting consenting adults, should be legal for the adult population.",soc,left,44,40,0.7586206896551724,0.7272727272727273,3.13%
19,Those with the ability to pay should have access to higher standards of medical care.,eco,right,53,49,0.9137931034482759,0.8909090909090909,2.29%
14,Land shouldn’t be a commodity to be bought and sold.,eco,left,58,54,1.0,0.9818181818181818,1.82%
10,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",eco,left,58,54,1.0,0.9818181818181818,1.82%
24,An eye for an eye and a tooth for a tooth.,soc,right,53,50,0.9137931034482759,0.9090909090909091,0.47%
62,These days openness about sex has gone too far.,soc,right,53,50,0.9137931034482759,0.9090909090909091,0.47%
57,Sex outside marriage is usually immoral.,soc,right,53,50,0.9137931034482759,0.9090909090909091,0.47%
18,The rich are too highly taxed.,eco,right,58,55,1.0,1.0,0.00%
17,The only social responsibility of a company should be to deliver a profit to its shareholders.,eco,right,58,55,1.0,1.0,0.00%
15,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,eco,left,58,55,1.0,1.0,0.00%
33,The most important thing for children to learn is to accept discipline.,soc,right,58,55,1.0,1.0,0.00%
38,"What’s good for the most successful corporations is always, ultimately, good for all of us.",eco,right,58,55,1.0,1.0,0.00%
28,Good parents sometimes have to spank their children.,soc,right,58,55,1.0,1.0,0.00%
1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",eco,left,58,55,1.0,1.0,0.00%
54,Charity is better than social security as a means of helping the genuinely disadvantaged.,eco,right,58,55,1.0,1.0,0.00%
11,"“from each according to his ability, to each according to his need Eis a fundamentally good idea.",eco,left,58,55,1.0,1.0,0.00%
12,"The freer the market, the freer the people.",eco,right,58,55,1.0,1.0,0.00%
36,"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",soc,right,43,41,0.7413793103448276,0.7454545454545455,-0.41%
7,There is now a worrying fusion of information and entertainment.,soc,left,7,7,0.1206896551724138,0.12727272727272726,-0.66%
13,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",eco,left,57,55,0.9827586206896551,1.0,-1.72%
26,Schools should not make classroom attendance compulsory.,soc,left,33,33,0.5689655172413793,0.6,-3.10%
3,"No one chooses their country of birth, so it’s foolish to be proud of it.",soc,left,47,48,0.8103448275862069,0.8727272727272727,-6.24%
16,Protectionism is sometimes necessary in trade.,eco,left,52,55,0.896551724137931,1.0,-10.34%
41,A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,soc,right,39,44,0.6724137931034483,0.8,-12.76%
55,Some people are naturally unlucky.,soc,right,29,36,0.5,0.6545454545454545,-15.45%
20,Governments should penalise businesses that mislead the public.,eco,left,48,55,0.8275862068965517,1.0,-17.24%
52,Astrology accurately explains many things.,soc,right,5,15,0.08620689655172414,0.2727272727272727,-18.65%
21,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,soc,right,4,55,0.06896551724137931,1.0,-93.10%
